Frame,Number of Persons,Total Dwell Time
12,0,0.0
24,0,0.0
36,1,0.0
48,1,0.5
60,1,1.0
72,1,1.5
84,1,2.0
96,1,2.5
108,1,3.0
120,1,3.5
132,1,4.0
144,1,4.5
156,1,5.0
168,1,5.5
180,1,6.0
192,1,6.5
204,1,7.0
216,1,7.5
228,1,8.0
240,1,8.5
252,1,9.0
264,2,9.5
276,2,10.5
288,1,1.0
300,2,12.5
312,2,13.5
324,2,14.5
336,1,12.5
348,1,13.0
360,1,13.5
372,2,18.5
384,2,19.5
396,1,15.0
408,1,15.5
420,1,16.0
432,1,16.5
444,2,24.5
456,2,25.5
468,2,26.5
480,2,27.5
492,2,28.5
504,1,19.5
516,1,20.0
528,2,31.5
540,2,32.5
552,2,33.5
564,2,34.5
576,1,22.5
588,1,13.5
600,1,14.0
612,1,14.5
624,2,39.5
636,2,40.5
648,1,16.0
660,1,16.5
672,1,17.0
684,2,44.5
696,0,0.0
708,2,46.5
720,2,47.5
732,0,0.0
744,0,0.0
756,1,30.0
768,2,51.5
780,0,0.0
792,1,22.0
804,2,54.5
816,0,0.0
828,1,23.5
840,1,24.0
852,1,24.5
864,1,25.0
876,1,25.5
888,1,26.0
900,1,26.5
912,1,27.0
924,1,27.5
936,1,28.0
948,1,28.5
960,2,67.5
972,0,0.0
984,1,39.5
996,1,40.0
1008,1,40.5
1020,1,41.0
1032,2,73.5
1044,2,74.5
1056,2,75.5
1068,2,76.5
1080,1,43.5
1092,1,44.0
1104,1,44.5
1116,1,35.5
1128,1,36.0
1140,1,36.5
1152,1,37.0
1164,1,37.5
1176,0,0.0
1188,1,38.5
1200,1,39.0
1212,0,0.0
1224,1,40.0
1236,1,40.5
1248,0,0.0
1260,0,0.0
1272,0,0.0
1284,0,0.0
1296,1,43.0
1308,1,43.5
1320,1,44.0
1332,0,0.0
1344,0,0.0
1356,1,45.5
1368,1,46.0
1380,0,0.0
1392,0,0.0
1404,1,0.0
1416,0,0.0
1428,1,1.0
1440,1,49.0
1452,1,49.5
1464,1,50.0
1476,0,0.0
1488,0,0.0
1500,0,0.0
1512,1,4.5
1524,0,0.0
1536,0,0.0
1548,0,0.0
1560,0,0.0
